,0
954,49275968
955,49385182
956,49476208
957,49525565
958,49546388
959,49553551
960,49574282
961,49578672
962,49624839
963,49626028
964,49627727
965,49651311
966,49675465
967,49700664
968,49714795
969,49748718
970,49772726
971,49802824
972,49828427
973,49832195
974,49839523
975,49848562
976,49856878
977,49875132
978,49886324
979,49900847
980,49919863
981,49922286
982,50060782
983,50169897
984,50176444
985,50210159
986,50216884
987,50241608
988,50251803
989,50286534
990,50288092
991,50333495
992,50357804
993,50367494
994,50368812
995,50371246
996,50479859
997,50481671
998,50491030
999,50521048
1000,50575267
1001,50638589
1002,50641206
1003,50666907
1004,50672695
1005,50674002
1006,50674576
1007,50714215
1008,50737073
1009,50740412
1010,50768085
1011,50897832
1012,50901277
1013,50931116
1014,50943887
1015,50948023
1016,50956059
1017,50961166
1018,50965025
1019,51035394
1020,51042597
1021,51051400
1022,51059337
1023,51150055
1024,51156682
1025,51200940
1026,51206546
1027,51242110
1028,51260653
1029,51268959
1030,51318031
1031,51343317
1032,51349842
1033,51358615
1034,51382816
1035,51444593
1036,51449207
1037,51520180
1038,51540614
1039,51545778
1040,51548308
1041,51549224
1042,51587648
1043,51588456
1044,51648697
1045,51665962
1046,51714278
1047,51722123
1048,51722607
1049,51723283
1050,51750011
1051,51763515
1052,51779498
1053,51821318
1054,51856475
1055,51867830
1056,51887896
1057,51895036
1058,51922607
1059,52014117
1060,52014553
1061,52034796
1062,52101533
1063,52104532
1064,52167425
1065,52211456
1066,52213953
1067,52218419
1068,52251306
1069,52397447
1070,52408335
1071,52450171
1072,52455439
1073,52473132
1074,52500210
1075,52519191
1076,52525142
1077,52565099
1078,52624196
1079,52663193
1080,52706447
1081,52712062
1082,52723960
1083,52844509
1084,52849007
1085,52858415
1086,52916638
1087,52925030
1088,52925878
1089,53061150
1090,53189546
1091,53241511
1092,53245164
1093,53317976
1094,53351628
1095,53407617
1096,53476734
1097,53510869
1098,53548248
1099,53600721
1100,53670843
1101,53723939
1102,53728063
1103,53744619
1104,53744910
1105,53756816
1106,53799862
1107,53871656
1108,53897099
1109,53906960
1110,53919143
1111,53940673
1112,54015343
1113,54066187
1114,54093475
1115,54255516
1116,54300321
1117,54327245
1118,54349389
1119,54363401
1120,54404255
