,0
742,44011172
743,44023792
744,44051595
745,44060524
746,44175257
747,44262508
748,44269263
749,44394074
750,44400533
751,44703255
752,44710613
753,44781356
754,44800305
755,44803783
756,44805860
757,44833306
758,44868852
759,44900213
760,44975022
761,44982870
762,45087931
763,45203959
764,45283616
765,45297078
766,45312133
767,45328482
768,45388386
769,45468266
770,45519783
771,45625666
772,45686513
773,45739375
774,45792802
775,45808375
776,45811177
777,46077022
778,46084135
779,46208073
780,46219090
781,46274390
782,46289979
783,46438069
784,46451986
785,46472282
786,46596783
787,46626314
788,46696495
789,46892939
790,46903201
791,46907300
792,46968028
793,47050558
794,47062178
795,47066658
796,47188635
797,47217120
798,47217883
799,47245456
800,47405025
801,47444029
802,47474010
803,47480764
804,47543887
805,47622004
806,47637075
807,47722890
808,47797568
809,47802651
810,47894195
811,47947248
812,48014943
813,48048741
814,48068093
815,48088339
816,48110290
817,48110403
818,48166591
819,48180884
820,48343114
821,48345428
822,48392741
823,48407958
824,48476913
825,48534176
826,48572311
827,48672935
828,48698432
829,48870686
830,48897529
831,49015073
832,49051852
833,49055567
834,49073234
835,49074291
836,49349176
837,49385182
838,49466937
839,49569683
840,49574282
841,49600935
842,49653653
843,49725876
844,49730750
845,49732299
846,49747765
847,49772726
848,49875132
849,49884788
850,49897480
851,49902310
852,50197294
853,50225245
854,50236532
855,50254961
856,50333495
857,50387052
858,50491030
859,50517868
860,50664744
861,50674576
862,50714215
863,50759335
864,50864944
865,50871227
866,50943887
867,50956059
868,50961166
869,50965025
870,50991508
871,50999652
872,51031438
873,51059337
874,51146769
875,51206546
876,51231861
877,51257238
878,51331654
879,51333962
880,51349842
881,51371362
882,51382816
883,51400025
884,51433581
885,51437306
886,51536535
887,51610376
888,51625325
889,51648697
890,51702265
891,51723049
892,51728135
893,51729795
894,51750011
895,51750634
896,51763515
897,51779498
898,51833894
899,51854383
900,51855640
901,51867830
902,51900737
903,51938660
904,51980114
905,52106590
906,52132399
907,52167425
908,52181947
909,52185873
910,52191601
911,52192315
912,52218419
913,52234138
914,52272803
915,52290915
916,52321280
917,52338160
918,52371297
919,52388940
920,52397447
921,52442974
922,52451483
923,52504576
924,52535002
925,52623780
926,52626146
927,52787044
928,52854764
929,52854983
930,52859519
931,52860373
932,52924429
933,52925878
934,52964988
935,53007299
936,53122994
937,53147162
938,53189546
939,53191101
940,53245164
941,53324369
942,53334496
943,53416067
944,53443077
945,53533446
946,53548248
947,53609352
948,53627108
949,53638645
950,53652634
951,53744910
952,53753418
953,53871656
954,53940039
955,54189665
956,54382104
957,54389185
958,54395119
959,54423950
960,54583919
961,54589433
962,54664641
963,54737113
964,54791344
965,54858130
966,54893313
967,54942051
968,54946865
969,55138127
970,55260585
971,55287590
972,55340856
973,55378061
974,55396250
975,55428853
976,55444134
977,55514506
978,55559599
979,55580467
980,55689947
981,55692011
982,55703729
983,55713553
984,55716134
985,55727181
986,55765627
987,55810388
988,55846692
989,55908357
990,56010752
991,56025232
992,56026362
993,56033170
994,56044758
995,56060002
996,56065783
997,56116283
998,56158873
999,56242828
1000,56293345
1001,56321377
1002,56355142
1003,56356847
1004,56357457
1005,56416616
1006,56483773
1007,56574570
1008,56684666
1009,56757235
1010,56769508
1011,56904327
1012,57050253
1013,57078226
1014,57080886
1015,57197401
1016,57223333
1017,57241200
1018,57391857
1019,57404178
1020,57426040
1021,57457569
1022,57542958
1023,57543306
1024,57558932
1025,57568009
1026,57675906
1027,57677720
1028,57762619
1029,57768829
1030,57868535
1031,58075862
1032,58161236
1033,58237634
1034,58286012
1035,58306350
1036,58306910
1037,58334261
1038,58394107
1039,58413092
1040,58449906
1041,58485102
1042,58529667
1043,58646035
1044,58707668
1045,58710341
1046,58729864
1047,58855357
1048,58896308
1049,58916369
1050,58936699
1051,58983983
1052,59133775
1053,59159595
1054,59188190
1055,59232857
1056,59246018
1057,59258134
1058,59296755
1059,59307591
1060,59365651
1061,59374214
1062,59400041
1063,59410703
1064,59420210
1065,59444463
1066,59529045
1067,59662927
1068,59677024
1069,59785582
1070,59832560
1071,59839487
1072,59902902
1073,59975681
1074,60031823
1075,60038497
1076,60094950
1077,60101605
1078,60143194
1079,60195196
1080,60216620
1081,60222262
1082,60233834
1083,60257113
1084,60282034
1085,60351205
1086,60400187
1087,60405084
1088,60408400
1089,60432017
1090,60533597
1091,60540664
1092,60559838
1093,60681569
1094,60724267
1095,60813402
1096,60922078
1097,60975230
1098,61042238
1099,61094888
1100,61106670
1101,61205991
1102,61239959
1103,61307094
1104,61478068
1105,61538633
1106,61552990
1107,61637232
1108,61646102
1109,61701042
1110,61733825
1111,61775156
1112,61797799
1113,61810512
1114,61813853
1115,61858512
1116,61865368
1117,61911397
1118,61947284
1119,62046244
1120,62047381
1121,62062913
1122,62146724
1123,62303550
1124,62352929
1125,62415542
1126,62430571
1127,62438911
1128,62487921
1129,62518050
1130,62596352
1131,62688058
1132,62731697
1133,62818670
1134,62938936
1135,62949881
1136,62972500
1137,63038326
1138,63055463
1139,63114059
1140,63135370
1141,63154330
1142,63165414
1143,63199547
1144,63225970
1145,63251401
1146,63263628
1147,63291771
1148,63324986
1149,63395692
1150,63420637
1151,63421984
1152,63480729
1153,63502374
1154,63505667
1155,63531555
1156,63536027
1157,63598214
1158,63653384
1159,63665044
1160,63714061
1161,63714825
1162,63754563
1163,63782661
1164,63817060
1165,63858993
1166,63950943
1167,64105606
1168,64110978
1169,64136859
1170,64206483
1171,64239260
1172,64241801
1173,64301841
1174,64370440
1175,64374945
1176,64414670
1177,64479149
1178,64516865
1179,64537385
1180,64555357
1181,64590762
1182,64605771
1183,64619329
1184,64635788
1185,64652252
1186,64659654
1187,64661753
1188,64667649
1189,64677499
1190,64691091
1191,64741871
1192,64828690
1193,64850590
1194,64858354
1195,64867028
1196,64979104
1197,65108808
1198,65146368
1199,65219686
1200,65243316
1201,65246955
1202,65247290
1203,65251744
1204,65273952
1205,65277767
1206,65294673
1207,65473201
1208,65567945
1209,65577581
1210,65579178
1211,65611093
1212,65646383
1213,65656188
1214,65700537
1215,65882738
1216,66001535
1217,66057660
1218,66061219
1219,66185994
1220,66216786
1221,66277787
1222,66294107
1223,66297468
1224,66310716
1225,66392661
1226,66398604
1227,66405556
1228,66470688
1229,66621845
1230,66653063
1231,66677138
1232,66693618
1233,66801248
1234,66873830
1235,66936743
1236,66949123
1237,66984724
1238,67003275
1239,67016855
1240,67054066
1241,67090676
1242,67220207
1243,67254770
1244,67284005
1245,67432048
1246,67473106
1247,67486895
1248,67554270
1249,67599244
1250,67703461
1251,67715717
1252,67724503
1253,67736194
1254,67765289
1255,67770343
1256,67774049
1257,67781548
1258,67817166
1259,67836164
1260,67850497
1261,67858612
1262,67952782
1263,68009021
1264,68051553
1265,68060658
1266,68115802
1267,68126110
1268,68147276
1269,68184569
1270,68233685
1271,68253090
1272,68261502
1273,68335895
1274,68339753
1275,68402593
1276,68421557
1277,68443439
1278,68459768
1279,68504906
1280,68533385
1281,68586210
1282,68590364
1283,68695758
1284,68823179
1285,68828312
1286,68889867
1287,68960027
1288,69022662
1289,69041410
1290,69062029
1291,69099312
1292,69177563
1293,69317638
1294,69376510
1295,69401481
1296,69425216
1297,69470956
1298,69482700
1299,69484358
1300,69537525
1301,69594927
1302,69640390
1303,69653036
1304,69664828
1305,69830281
1306,69919600
1307,69943812
1308,69955130
1309,69988866
1310,70044665
1311,70048461
1312,70063903
1313,70107364
1314,70127633
1315,70194398
1316,70213263
1317,70264339
1318,70285041
1319,70293342
1320,70307145
1321,70331929
1322,70376627
1323,70377114
1324,70428184
1325,70482188
1326,70515635
1327,70518478
1328,70562633
1329,70584850
1330,70596959
1331,70637680
1332,70678073
1333,70695310
1334,70733194
1335,70744896
1336,70748112
1337,70762239
1338,70762863
1339,70813186
1340,70820681
1341,70940550
1342,70972790
1343,71062469
1344,71064412
1345,71075674
1346,71091259
1347,71115249
1348,71126427
1349,71135206
1350,71146370
1351,71179444
1352,71246901
1353,71262261
1354,71269627
1355,71275332
1356,71281818
1357,71295275
1358,71297390
1359,71432113
1360,71448799
1361,71460961
1362,71562582
1363,71580191
1364,71682413
1365,71697484
1366,71826286
1367,71846947
1368,71852618
1369,71854468
1370,71854523
1371,71856563
1372,71883084
1373,71938096
1374,71938416
1375,71990237
1376,72000250
1377,72060562
1378,72098995
1379,72102899
1380,72124613
1381,72135447
1382,72145807
1383,72157399
